Fecha_datetime,Year,Month,Day,NO2_trop_mean,NO2_trop_std,WeekofYear,NO2_trop_mean_complete,NO2_trop_std_complete
2018-07-08T00:00:00Z,2018,7,8,5.057735747996809e-5,2.5383025139564164e-5,2018W27,5.057735747996809e-5,2.5383025139564164e-5
2018-07-09T00:00:00Z,2018,7,9,NA,NA,2018W28,6.446998660551064e-7,1.8956176524729658e-5
2018-07-10T00:00:00Z,2018,7,10,NA,NA,2018W28,2.8203861701658373e-5,1.3203206705829103e-5
2018-07-11T00:00:00Z,2018,7,11,9.506283856116676e-5,9.849213530898948e-6,2018W28,9.506283856116669e-5,9.849213530898946e-6
2018-07-12T00:00:00Z,2018,7,12,1.569188309121e-4,1.5782301095413764e-005,2018W28,1.569188309121e-4,1.5782301095413764e-005
2018-07-13T00:00:00Z,2018,7,13,NA,NA,2018W28,1.622124700325709e-4,4.402164341368092e-5
2018-07-14T00:00:00Z,2018,7,14,1.220200370461e-4,5.46656004637669e-5,2018W28,1.2202003704609998e-4,5.4665600463766904e-5
2018-07-15T00:00:00Z,2018,7,15,6.721487726624525e-5,2.1105029864980123e-5,2018W28,6.721487726624525e-5,2.1105029864980123e-5
2018-07-16T00:00:00Z,2018,7,16,3.136447569676817e-5,3.772095362321537e-6,2018W29,3.136447569676817e-5,3.772095362321535e-6
2018-07-17T00:00:00Z,2018,7,17,NA,NA,2018W29,1.917070278193994e-5,0
2018-07-18T00:00:00Z,2018,7,18,NA,NA,2018W29,2.564624068524006e-5,1.2853254331783373e-6
2018-07-19T00:00:00Z,2018,7,19,NA,NA,2018W29,4.531839252936747e-5,8.421345409347264e-6
2018-07-20T00:00:00Z,2018,7,20,NA,NA,2018W29,7.271446143702114e-5,1.9514064385225582e-5
2018-07-21T00:00:00Z,2018,7,21,1.023617505309e-4,3.3341304140225074e-5,2018W29,1.023617505309e-4,3.334130414022507e-5
2018-07-22T00:00:00Z,2018,7,22,NA,NA,2018W29,1.2915024214688685e-4,4.8880040572711226e-5
